cik
4515
1683541
1308648
1411579
2488
1070235
886158
1655210
1734052
1801170
1108205
1720161
1483510
1806904
804269
1326380
1355848
1273441
1773751
1055726
1585608
56701
1474627
1682852
1707919
1296774
924613
1000694
1801169
1805284
1828365
829224
1831651
65596
1330568
1766600
850261
1758766
1001614
1782941
98677
1683825
1425287
1747748
1585521
